IdBundesland,IdLandkreis,Altersgruppe,Geschlecht,AnzahlFall,AnzahlTodesfall,Meldedatum,ObjectId
11,11010,A35-A59,M,3,0,1585353600000,483883
11,11010,A35-A59,W,3,0,1585353600000,483895
11,11010,A60-A79,M,1,0,1585353600000,483901
12,12061,A35-A59,M,1,0,1585353600000,484180
12,12061,A35-A59,W,1,0,1585353600000,484190
12,12061,A60-A79,M,1,0,1585353600000,484195
12,12061,A60-A79,W,1,0,1585353600000,484201
12,12066,A15-A34,W,2,0,1585353600000,484378
12,12067,A15-A34,M,1,0,1585353600000,484396
12,12067,A15-A34,W,1,0,1585353600000,484403
12,12067,A35-A59,M,3,0,1585353600000,484413
12,12067,A35-A59,W,1,0,1585353600000,484422
12,12067,A60-A79,M,1,0,1585353600000,484426
12,12068,A35-A59,M,1,0,1585353600000,484436
13,13003,A35-A59,M,1,0,1585353600000,484560
13,13003,A35-A59,W,1,0,1585353600000,484567
13,13003,A60-A79,W,1,0,1585353600000,484573
13,13004,A15-A34,M,1,0,1585353600000,484585
13,13004,A15-A34,W,1,0,1585353600000,484593
13,13004,A35-A59,M,1,0,1585353600000,484604
13,13004,A60-A79,W,1,0,1585353600000,484613
13,13071,A15-A34,W,1,0,1585353600000,484625
13,13072,A15-A34,W,1,0,1585353600000,484658
13,13073,A60-A79,M,1,0,1585353600000,484699
13,13074,A15-A34,W,1,0,1585353600000,484711
13,13074,A35-A59,M,1,0,1585353600000,484715
13,13074,A60-A79,M,1,0,1585353600000,484721
13,13075,A35-A59,M,1,0,1585353600000,484741
13,13076,A15-A34,M,3,0,1585353600000,484767
13,13076,A35-A59,M,1,1,1585353600000,484773
13,13076,A60-A79,M,1,0,1585353600000,484784
14,14511,A35-A59,W,1,0,1585353600000,484829
14,14511,A60-A79,M,1,0,1585353600000,484836
14,14522,A15-A34,M,1,0,1585353600000,484906
14,14522,A15-A34,W,1,0,1585353600000,484914
14,14522,A35-A59,W,6,0,1585353600000,484936
14,14522,A60-A79,M,1,0,1585353600000,484943
14,14625,A05-A14,M,1,0,1585353600000,485184
14,14625,A05-A14,W,2,0,1585353600000,485186
14,14625,A35-A59,M,2,0,1585353600000,485213
14,14625,A35-A59,W,1,0,1585353600000,485225
14,14628,A00-A04,M,1,0,1585353600000,485333
14,14628,A15-A34,M,1,0,1585353600000,485347
14,14628,A15-A34,W,2,0,1585353600000,485356
14,14628,A35-A59,W,1,0,1585353600000,485381
14,14713,A05-A14,M,1,0,1585353600000,485405
14,14713,A15-A34,M,2,0,1585353600000,485423
14,14713,A15-A34,W,1,0,1585353600000,485438
14,14713,A35-A59,W,1,0,1585353600000,485473
14,14713,A60-A79,M,2,0,1585353600000,485485
15,15002,A15-A34,M,1,0,1585353600000,485593
15,15002,A15-A34,W,1,0,1585353600000,485602
15,15002,A35-A59,M,3,0,1585353600000,485617
15,15091,A15-A34,M,1,0,1585353600000,485939
15,15091,A80+,W,1,0,1585353600000,485970
16,16051,A35-A59,M,2,0,1585353600000,485996
16,16051,A60-A79,W,1,0,1585353600000,486012
16,16052,A15-A34,M,1,0,1585353600000,486014
16,16052,A15-A34,W,1,0,1585353600000,486017
16,16052,A60-A79,M,1,0,1585353600000,486025
16,16052,A60-A79,W,1,0,1585353600000,486027
16,16053,A05-A14,M,1,0,1585353600000,486034
16,16053,A15-A34,M,2,0,1585353600000,486046
16,16053,A15-A34,W,1,0,1585353600000,486059
16,16053,A35-A59,M,7,0,1585353600000,486068
16,16053,A35-A59,W,3,0,1585353600000,486074
16,16053,A60-A79,unbekannt,1,0,1585353600000,486077
16,16054,A60-A79,M,1,0,1585353600000,486090
16,16061,A15-A34,M,2,0,1585353600000,486118
16,16061,A35-A59,W,1,0,1585353600000,486140
16,16061,A60-A79,W,1,0,1585353600000,486144
16,16061,A80+,M,1,0,1585353600000,486146
16,16063,A35-A59,W,2,0,1585353600000,486162
16,16070,A15-A34,W,1,0,1585353600000,486254
16,16070,A80+,W,1,0,1585353600000,486271
16,16071,A35-A59,M,2,0,1585353600000,486282
16,16071,A35-A59,W,1,0,1585353600000,486286
16,16072,A15-A34,M,1,0,1585353600000,486293
16,16072,A35-A59,W,1,0,1585353600000,486303
16,16072,A60-A79,M,1,0,1585353600000,486305
16,16074,A15-A34,M,1,0,1585353600000,486332
16,16074,A35-A59,M,1,0,1585353600000,486337
16,16074,A35-A59,W,1,0,1585353600000,486341
16,16074,A60-A79,M,1,0,1585353600000,486343
16,16074,A60-A79,W,1,0,1585353600000,486348
16,16076,A35-A59,M,1,0,1585353600000,486385
16,16076,A35-A59,W,4,0,1585353600000,486398
16,16076,A60-A79,M,1,0,1585353600000,486407
